player,year,1st_in,1st_won,2nd_won,bp_saved,v1st_won,v2nd_won,bp_cnvt,hld_rate,brk_rate
Lucie Ahl,2003,57.0,63.16,37.21,61.11,38.1,60.42,31.58,,
Ludmila Cervanova,2003,67.29,59.11,49.51,52.82,33.35,56.53,55.67,,
Magdalena Maleeva,2003,64.63,65.7,49.3,52.14,39.84,62.79,35.7,,
Magui Serna,2003,52.71,68.25,44.18,62.89,35.74,50.9,40.38,,
Maja Matevzic,2003,61.84,66.1,44.66,55.6,31.56,47.99,49.61,,
Mara Santangelo,2003,54.17,66.15,54.55,72.73,31.37,40.0,60.0,,
Maria Elena Camerin,2003,66.27,64.6,48.79,70.48,28.24,53.13,43.52,,
Maria Emilia Salerni,2003,54.9,64.29,30.43,16.67,35.0,27.27,14.29,,
Maria Kirilenko,2003,67.0,61.96,54.61,48.53,36.47,44.66,38.78,,
Maria Sanchez Lorenzo,2003,48.42,71.97,48.82,51.01,38.99,54.04,40.8,,
Maria Sharapova,2003,60.11,67.51,51.37,76.59,37.45,58.21,46.54,,
Maria Vento Kabchi,2003,59.61,53.97,39.14,36.11,45.16,52.78,50.5,,
Marie Gaiane Mikaelian,2003,64.5,60.41,51.65,32.1,31.7,56.2,39.1,,
Marion Bartoli,2003,61.77,57.64,36.76,60.44,36.0,47.07,56.35,,
Marlene Weingartner,2003,57.78,58.04,37.52,44.32,36.22,42.48,36.11,,
Marta Marrero,2003,61.63,57.85,34.69,50.38,24.76,37.98,25.0,,
Martina Muller,2003,59.62,48.39,23.81,40.0,33.33,50.0,22.22,,
Martina Sucha,2003,58.91,51.33,40.32,51.06,31.48,55.16,64.29,,
Mary Pierce,2003,64.46,68.84,54.05,56.81,35.84,58.26,41.18,,
Maureen Drake,2003,70.61,61.65,38.13,55.64,36.17,51.45,53.7,,
Meghann Shaughnessy,2003,51.43,71.24,47.22,53.88,32.49,54.9,43.53,,
Meilen Tu,2003,63.24,53.49,44.0,36.36,42.86,61.29,28.57,,
Melinda Czink,2003,65.28,58.71,40.7,45.77,32.93,54.55,31.91,,
Milagros Sequera,2003,56.8,54.44,45.31,45.83,37.48,57.44,22.73,,
Monica Seles,2003,54.24,50.0,25.93,40.0,46.88,37.5,28.57,,
Myriam Casanova,2003,55.18,63.82,48.01,49.26,30.87,53.6,39.17,,
Nadia Petrova,2003,56.55,70.26,47.29,61.6,44.58,59.49,49.36,,
Natalia Gussoni,2003,49.18,56.67,22.58,46.15,36.59,67.86,36.36,,
Nathalie Dechy,2003,63.97,62.97,50.29,45.29,42.62,63.55,45.27,,
Nicole Pratt,2003,66.14,58.71,43.73,50.32,40.14,54.99,59.62,,
Paola Suarez,2003,61.06,63.89,51.55,59.81,43.24,58.51,53.46,,
Patricia Wartusch,2003,51.15,50.0,44.07,48.82,29.92,54.23,70.0,,
Patty Schnyder,2003,62.37,65.72,60.98,51.85,32.35,55.07,35.98,,
Petra Mandula,2003,63.73,62.91,48.44,52.57,34.59,63.66,48.33,,
Rita Grande,2003,65.69,63.66,41.91,58.63,38.64,55.54,48.42,,
Rossana De Los Rios,2003,64.46,39.92,37.25,44.44,15.0,41.66,0.0,,
Samantha Reeves,2003,61.75,57.84,37.84,49.46,32.89,62.45,49.53,,
Samantha Stosur,2003,49.37,74.36,35.0,33.33,28.85,58.33,33.33,,
Sandra Kleinova,2003,63.44,58.35,35.79,52.08,38.53,56.47,61.11,,
Saori Obata,2003,70.79,52.63,45.28,51.17,42.07,59.65,53.51,,
Sarah Taylor,2003,51.28,61.2,36.5,46.43,27.82,49.81,45.0,,
Seda Noorlander,2003,72.92,40.0,38.46,0.0,27.27,47.37,50.0,,
Selima Sfar,2003,50.0,65.0,25.0,33.33,4.0,42.86,0.0,,0.0
Serena Williams,2003,61.73,74.05,52.79,63.88,46.16,59.94,58.78,,
Shenay Perry,2003,46.15,58.33,32.14,50.0,31.43,40.91,16.67,,
Shinobu Asagoe,2003,71.85,61.94,43.13,49.01,33.33,53.6,39.08,,
Silvia Farina Elia,2003,70.09,63.88,50.18,56.97,35.57,62.45,61.08,,
Silvija Talaja,2003,50.8,55.13,43.18,58.33,33.47,55.07,52.78,,
Sophie Lefevre,2003,51.43,68.52,43.14,36.36,42.68,42.86,62.5,,
Stanislava Hrozenska,2003,61.7,48.28,27.78,37.5,13.79,66.67,25.0,,
Stephanie Cohen Aloro,2003,56.6,63.65,42.33,49.69,35.23,54.02,38.6,,
Stephanie Foretz Gacon,2003,53.2,54.05,39.15,53.79,41.56,54.24,40.0,,
Stephanie Gehrlein,2003,62.75,43.75,52.63,33.33,32.35,39.13,33.33,,
Svetlana Kuznetsova,2003,58.07,68.15,51.96,56.94,33.53,64.08,47.67,,
Tamarine Tanasugarn,2003,58.17,61.2,49.7,29.86,33.38,52.15,37.67,,
Tathiana Garbin,2003,53.63,65.03,41.0,38.76,38.43,47.64,27.43,,
Tatiana Golovin,2003,50.0,59.26,37.04,0.0,32.26,35.71,100.0,,
Tatiana Perebiynis,2003,59.04,64.56,48.86,53.11,35.47,47.53,38.02,,
Tatiana Poutchek,2003,63.46,53.63,49.02,53.37,34.25,46.75,54.08,,
Theresa Logar,2003,39.22,60.0,41.94,37.5,28.12,27.27,50.0,,
Tian Tian Sun,2003,59.38,60.53,30.77,28.57,41.51,36.36,28.57,,
Tina Pisnik,2003,60.97,63.97,48.85,40.63,36.09,59.62,49.44,,
Venus Williams,2003,55.2,76.16,43.79,48.49,40.78,67.27,46.98,,
Vera Dushevina,2003,43.94,65.52,32.43,72.22,29.41,43.75,40.0,,
Vera Zvonareva,2003,63.23,66.52,49.64,59.95,37.01,60.38,50.51,,
Virginia Ruano Pascual,2003,72.88,53.44,41.51,68.21,25.76,52.22,37.04,,
Virginie Pichet,2003,52.94,51.85,25.0,54.55,28.57,9.09,0.0,,0.0
Virginie Razzano,2003,63.91,64.88,39.51,42.86,41.86,63.29,53.69,,
Wynne Prakusya,2003,51.28,40.0,36.84,16.67,10.0,38.89,0.0,,
Yoon Jeong Cho,2003,71.71,55.52,40.3,45.04,32.58,52.01,51.72,,
Yuliya Beygelzimer,2003,64.44,65.52,53.12,75.0,17.65,46.51,100.0,,
Zuzana Ondraskova,2003,61.25,59.53,40.08,54.77,35.8,42.03,28.12,,
Abigail Spears,2004,45.83,56.82,51.92,61.54,32.14,52.38,60.0,,
Adriana Serra Zanetti,2004,72.15,59.65,45.45,50.0,33.33,41.18,75.0,,
Ai Sugiyama,2004,60.78,64.12,45.31,64.64,44.36,55.18,47.78,,
Akiko Morigami,2004,59.32,56.79,49.05,53.43,37.16,59.78,52.77,,
Alexandra Stevenson,2004,57.24,64.47,40.5,31.25,22.63,47.08,6.25,,
Alicia Molik,2004,58.44,68.18,56.18,50.68,36.13,61.63,54.63,,
Alina Jidkova,2004,59.02,64.02,42.62,59.53,31.8,53.66,33.33,,
Amanda Coetzer,2004,71.5,51.67,48.68,53.34,46.08,65.98,75.0,,
Amanda Keen,2004,62.11,67.8,36.11,71.43,34.55,37.84,25.0,,
Amber Liu,2004,54.67,63.41,44.12,33.33,21.43,62.86,30.0,,
Amelie Mauresmo,2004,58.79,75.52,51.76,43.42,42.69,60.24,47.72,,
Amy Frazier,2004,61.03,61.16,45.97,41.86,42.13,57.15,48.01,,
Anabel Medina Garrigues,2004,77.97,58.35,59.54,51.68,40.58,58.35,59.94,,
Anastasia Myskina,2004,53.09,67.85,47.84,53.14,46.49,57.61,56.73,,
Anca Barna,2004,63.93,55.26,45.9,52.12,32.6,54.71,50.56,,
Angela Haynes,2004,71.72,62.88,54.93,57.14,32.7,52.82,37.78,,
Angelika Bachmann,2004,73.68,52.38,46.67,60.0,25.81,31.58,50.0,,
Angelique Widjaja,2004,66.32,53.92,49.21,41.07,31.84,57.54,66.07,,
Aniko Kapros,2004,54.28,55.48,47.82,51.69,38.96,54.5,53.9,,
Anna Chakvetadze,2004,61.2,60.84,43.74,34.26,37.96,56.43,55.56,,
Anna Lena Groenefeld,2004,58.5,65.73,58.65,42.86,37.32,63.84,40.34,,
Anna Smashnova,2004,68.28,46.32,26.78,39.61,38.09,63.04,47.32,,
Anne Keothavong,2004,57.14,50.0,38.1,44.44,30.0,41.18,25.0,,
Ansley Cargill,2004,79.69,62.75,30.77,62.5,25.71,16.67,0.0,,0.0
Antonella Serra Zanetti,2004,73.94,55.52,45.06,48.84,36.99,59.37,51.3,,
Arantxa Parra Santonja,2004,48.66,64.6,43.31,52.38,36.81,61.03,59.58,,
Asa Carlsson,2004,57.65,57.14,47.22,41.67,33.33,54.55,71.43,,
Ashley Harkleroad,2004,73.51,51.73,34.26,37.5,38.75,52.86,84.85,,
Barbara Rittner,2004,61.62,49.65,42.0,49.4,37.83,70.18,92.85,,
Barbara Schett,2004,62.93,60.86,41.88,49.11,36.58,59.46,41.21,,
Barbara Schwartz,2004,53.66,40.91,26.32,14.29,31.03,50.0,25.0,,
Barbora Strycova,2004,54.16,63.7,41.83,48.33,38.72,53.9,52.67,,
Camille Pin,2004,78.26,58.89,37.46,36.67,35.81,45.89,56.28,,
Cara Black,2004,57.93,58.74,44.2,50.13,35.31,49.27,54.19,,
Casey Dellacqua,2004,53.42,56.41,41.18,66.67,41.38,53.33,37.5,,
Catalina Castano,2004,64.41,45.12,37.02,43.93,28.26,51.14,46.67,,
Chanda Rubin,2004,63.29,64.24,47.5,49.32,38.65,58.12,53.47,,
Chia Jung Chuang,2004,58.54,62.5,5.88,44.44,18.75,50.0,0.0,,
Christina Wheeler,2004,59.68,55.41,40.0,55.0,39.24,62.96,35.0,,
Clarisa Fernandez,2004,54.17,67.31,38.64,73.68,22.41,64.29,57.14,,
Claudine Schaul,2004,55.98,62.04,44.26,61.67,39.33,53.84,49.27,,
Conchita Martinez,2004,57.15,64.23,49.68,52.68,40.58,44.25,36.98,,
Conchita Martinez Granados,2004,66.94,45.22,52.94,47.22,38.59,28.96,62.5,,
Cristina Torrens Valero,2004,58.93,45.45,60.87,33.33,15.62,45.71,14.29,,
Dally Randriantefy,2004,64.97,50.47,36.93,32.64,28.94,54.45,48.96,,
Daniela Hantuchova,2004,59.54,62.12,44.16,43.01,34.49,54.03,56.17,,
Denisa Chladkova,2004,62.52,63.23,45.05,52.24,35.93,50.84,50.04,,
Dinara Safina,2004,54.53,60.46,36.73,45.29,32.69,51.55,44.46,,
Elena Baltacha,2004,62.12,66.42,41.38,70.0,29.46,60.84,58.34,,
Elena Bovina,2004,66.61,64.8,43.77,59.09,39.43,56.88,56.93,,
Elena Dementieva,2004,57.22,62.84,38.47,44.85,41.7,60.86,55.17,,
Elena Likhovtseva,2004,63.31,65.5,42.04,46.71,39.94,56.35,46.95,,
Eleni Daniilidou,2004,69.51,64.14,42.08,62.44,42.52,57.55,44.56,,
Els Callens,2004,63.08,62.01,34.55,39.84,29.06,45.34,25.95,,
Emilie Loit,2004,58.51,60.4,45.63,43.28,29.59,54.26,33.98,,
Emmanuelle Gagliardi,2004,62.77,59.31,46.49,44.79,29.35,52.01,43.33,,
Eva Birnerova,2004,58.7,52.78,37.74,45.68,30.3,60.53,67.5,,
Evgenia Linetskaya,2004,64.21,60.86,42.92,55.72,43.6,50.87,41.66,,
Evie Dominikovic,2004,65.15,63.8,46.66,57.28,38.14,49.58,34.38,,
Fabiola Zuluaga,2004,55.41,67.5,49.02,54.04,38.41,56.08,52.21,,
Flavia Pennetta,2004,56.12,59.94,40.02,56.77,38.56,53.12,55.19,,
Francesca Schiavone,2004,49.02,68.53,46.92,67.14,36.16,47.59,64.15,,
Gala Leon Garcia,2004,71.61,55.17,30.77,25.07,35.85,49.02,26.98,,
Gisela Dulko,2004,55.86,67.69,44.96,46.67,35.32,54.84,55.36,,
Henrieta Nagyova,2004,78.4,43.1,42.05,37.5,36.08,47.83,30.0,,
Jamea Jackson,2004,64.0,53.75,44.44,50.0,31.58,57.14,36.84,,
Jane Odonoghue,2004,56.9,63.64,52.0,70.0,30.0,37.5,0.0,,
Jelena Dokic,2004,52.98,68.79,31.9,50.87,19.56,53.31,55.0,,
Jelena Jankovic,2004,68.16,57.47,34.2,47.21,40.16,60.48,52.34,,
Jelena Kostanic Tosic,2004,66.84,51.04,50.3,56.47,29.55,57.06,44.03,,
Jennifer Capriati,2004,64.83,67.56,51.76,43.86,41.69,56.11,45.72,,
Jennifer Hopkins,2004,56.41,58.32,37.07,45.55,25.26,46.11,27.78,,
Jessica Kirkland,2004,57.14,65.62,20.83,16.67,33.33,60.0,33.33,,
Jie Zheng,2004,67.06,53.08,34.75,39.65,33.69,50.13,34.29,,
Jill Craybas,2004,63.69,60.75,46.77,53.44,42.38,52.06,41.96,,
Julia Schruff,2004,58.98,61.28,45.69,48.01,35.46,58.59,59.72,,
Julia Vakulenko,2004,61.35,68.29,34.46,44.38,33.0,56.14,54.5,,
Justine Henin,2004,50.15,69.36,51.24,59.1,45.14,62.41,54.76,,
Karolina Sprem,2004,53.93,63.67,41.05,57.93,31.11,55.87,33.57,,
Katarina Srebotnik,2004,60.51,56.86,38.88,36.05,42.88,52.8,56.38,,
Kelly Mccain,2004,60.44,54.48,41.1,56.09,21.32,45.64,78.57,,
Kim Clijsters,2004,61.9,68.52,52.6,50.44,45.64,62.89,62.8,,
Kristina Brandi,2004,68.9,53.88,46.69,54.61,33.86,55.81,44.81,,
Kveta Peschke,2004,63.24,61.31,52.4,33.93,34.88,58.61,32.16,,
Laura Granville,2004,61.31,58.61,50.69,61.16,32.54,54.39,54.85,,
Libuse Prusova,2004,59.74,73.91,29.03,33.33,40.0,34.48,37.5,,
Lina Krasnoroutskaya,2004,59.7,64.56,43.58,59.93,37.0,56.69,54.27,,
Lindsay Davenport,2004,61.0,76.67,47.98,60.55,43.85,61.24,55.08,,
Lindsay Lee Waters,2004,60.56,68.18,42.98,61.11,27.83,51.3,39.91,,
Lisa Raymond,2004,61.41,68.47,46.6,49.58,36.14,51.84,48.73,,
Lubomira Bacheva,2004,71.19,50.0,35.29,28.57,27.78,45.83,66.67,,
Lubomira Kurhajcova,2004,57.86,63.76,38.54,37.5,18.56,51.9,42.5,,
Ludmila Cervanova,2004,65.66,56.58,39.2,55.22,29.26,46.63,27.64,,
Magdalena Maleeva,2004,65.62,62.82,41.0,62.8,43.4,53.91,38.63,,
Magui Serna,2004,56.23,63.7,41.65,60.37,31.44,47.99,36.26,,
Mara Santangelo,2004,65.32,57.95,41.51,49.66,31.76,50.04,43.55,,
Maria Elena Camerin,2004,64.34,55.18,46.83,52.68,40.28,52.19,44.46,,
Maria Kirilenko,2004,58.32,62.05,49.23,53.07,34.81,56.33,46.36,,
Maria Sanchez Lorenzo,2004,43.6,63.53,40.71,53.76,28.89,52.86,62.5,,
Maria Sharapova,2004,61.65,71.75,51.74,44.7,43.19,58.2,50.06,,
Maria Vento Kabchi,2004,58.9,55.08,34.52,42.5,35.13,59.38,36.39,,
Mariana Diaz Oliva,2004,69.22,52.48,43.83,53.48,37.97,52.37,45.24,,
Marie Eve Pelletier,2004,61.32,60.0,51.22,54.55,29.23,62.86,31.25,,
Marie Gaiane Mikaelian,2004,65.72,49.19,35.18,49.41,29.02,42.18,10.42,,
Marion Bartoli,2004,64.85,56.27,43.5,64.89,38.7,58.55,57.46,,
Marlene Weingartner,2004,60.6,56.0,42.24,52.49,40.13,59.14,40.56,,
Marta Marrero,2004,58.43,57.55,40.13,56.58,32.25,56.63,33.71,,
Martina Navratilova,2004,64.18,64.61,49.02,60.12,43.14,52.28,46.03,,
Martina Sucha,2004,60.38,58.16,39.33,61.76,24.91,46.85,50.0,,
Mary Pierce,2004,66.47,72.64,53.4,46.23,39.43,53.88,42.07,,
Mashona Washington,2004,55.07,68.42,29.03,40.0,36.76,62.96,30.77,,
Maureen Drake,2004,59.48,53.53,46.55,45.42,26.84,61.9,44.44,,
Meghann Shaughnessy,2004,50.49,72.38,42.09,59.33,33.86,48.71,38.55,,
Melinda Czink,2004,70.16,54.38,42.78,38.96,38.82,52.76,56.82,,
Mervana Jugic Salkic,2004,61.05,58.62,43.24,58.33,27.91,72.73,87.5,,
Milagros Sequera,2004,58.89,54.24,20.4,45.11,36.39,45.87,42.5,,
Myriam Casanova,2004,55.65,60.05,39.24,43.24,37.99,60.27,48.47,,
Nadia Petrova,2004,56.82,69.36,49.12,40.13,40.06,51.75,40.15,,
Nan Nan Liu,2004,69.01,48.98,40.91,50.0,30.56,55.0,33.33,,
Nathalie Dechy,2004,68.43,60.88,50.06,65.8,34.47,56.75,62.27,,
Nicole Pratt,2004,64.99,59.44,44.83,55.68,35.48,49.37,43.22,,
Nicole Vaidisova,2004,51.16,50.0,33.33,14.29,29.63,50.0,50.0,,
Nuria Llagostera Vives,2004,50.77,66.67,31.25,54.55,31.82,60.0,27.27,,
Olivia Lukaszewicz,2004,52.5,33.33,31.58,33.33,11.11,43.48,0.0,,
Paola Suarez,2004,66.74,64.01,46.41,56.8,43.19,65.06,53.28,,
Patty Schnyder,2004,61.45,66.13,51.57,45.15,41.14,52.41,45.38,,
Petra Mandula,2004,57.92,60.6,42.86,54.25,42.47,58.64,59.36,,
Rita Grande,2004,71.38,59.53,42.2,52.08,34.4,53.44,30.99,,
Roberta Vinci,2004,54.0,52.52,34.24,54.16,29.1,50.84,26.11,,
Ruxandra Dragomir Ilie,2004,60.0,55.56,29.17,54.55,16.67,62.5,33.33,,
Samantha Reeves,2004,61.23,44.9,29.91,42.59,29.08,50.8,32.06,,
Samantha Stosur,2004,49.59,64.06,45.02,55.55,26.19,43.89,24.07,,
Sanda Mamic,2004,50.0,55.56,44.44,50.0,29.63,42.86,50.0,,
Sandra Kleinova,2004,64.72,59.51,34.99,49.47,30.31,47.01,41.99,,
Sandrine Testud,2004,64.29,60.0,28.0,61.54,40.54,44.0,42.86,,
Saori Obata,2004,68.17,52.58,35.82,38.46,45.75,57.62,41.88,,
Serena Williams,2004,61.34,73.32,51.51,64.78,44.89,58.59,54.56,,
Sesil Karatantcheva,2004,46.81,45.45,40.0,37.5,15.79,34.78,0.0,,
Severine Beltrame,2004,58.59,57.7,34.75,51.52,28.88,65.3,43.81,,
Shenay Perry,2004,50.12,61.02,46.01,58.77,39.52,46.21,34.67,,
Shikha Uberoi,2004,49.33,54.05,44.74,58.33,22.58,47.37,100.0,,
Shinobu Asagoe,2004,70.45,55.06,48.04,45.93,35.06,54.83,47.0,,
Silvia Farina Elia,2004,73.24,57.31,53.32,62.1,42.3,53.59,47.56,,
Silvija Talaja,2004,58.19,63.49,42.03,55.45,32.19,50.98,33.75,,
Sofia Arvidsson,2004,71.64,50.0,36.84,53.85,37.5,52.5,23.08,,
Sophie Ferguson,2004,66.67,52.94,52.94,66.67,21.21,33.33,0.0,,
Stephanie Cohen Aloro,2004,65.22,49.39,42.57,43.88,31.9,41.24,14.58,,
Stephanie Foretz Gacon,2004,56.75,53.95,47.6,47.14,33.01,59.26,38.14,,
Svetlana Kuznetsova,2004,56.07,69.15,53.62,46.66,42.58,54.21,54.75,,
Tamarine Tanasugarn,2004,59.8,53.64,36.4,48.36,29.85,54.13,51.25,,
Tara Snyder,2004,68.89,41.94,28.57,0.0,42.31,50.0,33.33,,
Tathiana Garbin,2004,55.68,66.85,48.06,48.68,40.62,58.91,54.35,,
Tatiana Golovin,2004,58.4,61.66,40.64,52.14,41.26,58.08,46.74,,
Tatiana Panova,2004,60.75,51.61,46.84,48.34,18.04,48.61,33.33,,
Tatiana Perebiynis,2004,58.33,62.44,33.48,35.0,39.47,55.98,33.69,,
Teryn Ashley,2004,51.31,48.45,45.69,47.72,28.82,52.91,27.5,,
Tina Pisnik,2004,66.54,46.02,28.89,45.0,42.4,42.72,30.0,,
Trudi Musgrave,2004,57.6,62.5,45.28,68.75,32.39,50.0,40.0,,
